"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"26,1";"26,6";"26,1";"82,0";"82,0";"80,0";"22,7";"23,0";"22,5";"1004,7";"1004,7";"1004,2";"2,2";"81,0";"5,6";"";"0,0"
"01/01/2025";"0100";"26,1";"26,2";"26,0";"83,0";"84,0";"82,0";"22,9";"23,1";"22,8";"1004,9";"1004,9";"1004,7";"3,0";"76,0";"4,7";"";"0,0"
"01/01/2025";"0200";"25,7";"26,2";"25,7";"85,0";"85,0";"83,0";"23,0";"23,3";"22,9";"1004,5";"1004,9";"1004,5";"2,4";"60,0";"5,0";"";"0,0"
"01/01/2025";"0300";"24,9";"25,7";"24,9";"88,0";"88,0";"85,0";"22,8";"23,0";"22,7";"1004,0";"1004,5";"1004,0";"1,5";"13,0";"3,7";"";"0,0"
"01/01/2025";"0400";"24,4";"24,9";"24,3";"90,0";"91,0";"88,0";"22,7";"22,8";"22,7";"1003,4";"1004,0";"1003,4";"1,5";"44,0";"2,4";"";"0,0"
"01/01/2025";"0500";"24,2";"24,5";"24,2";"91,0";"91,0";"90,0";"22,6";"22,7";"22,6";"1003,2";"1003,4";"1003,2";"1,6";"47,0";"3,0";"";"0,0"
"01/01/2025";"0600";"24,1";"24,3";"24,0";"92,0";"92,0";"91,0";"22,7";"22,8";"22,6";"1003,1";"1003,3";"1003,1";"1,6";"24,0";"2,5";"";"0,0"
"01/01/2025";"0700";"24,0";"24,5";"24,0";"93,0";"93,0";"91,0";"22,8";"23,0";"22,7";"1003,3";"1003,3";"1003,1";"1,4";"12,0";"2,8";"";"0,0"
"01/01/2025";"0800";"23,8";"24,0";"23,5";"95,0";"96,0";"93,0";"23,0";"23,0";"22,6";"1003,6";"1003,6";"1003,3";"0,9";"36,0";"2,1";"";"0,0"
"01/01/2025";"0900";"25,5";"25,5";"23,8";"89,0";"95,0";"89,0";"23,5";"23,6";"23,0";"1004,1";"1004,1";"1003,6";"1,5";"50,0";"2,9";"200,00";"0,0"
"01/01/2025";"1000";"28,1";"28,2";"25,5";"73,0";"89,0";"72,0";"22,8";"23,7";"22,4";"1004,3";"1004,3";"1004,1";"4,1";"88,0";"6,5";"1074,30";"0,0"
"01/01/2025";"1100";"28,2";"28,9";"27,1";"71,0";"79,0";"68,0";"22,4";"23,6";"21,8";"1004,6";"1004,6";"1004,3";"4,0";"82,0";"6,6";"1198,00";"0,0"
"01/01/2025";"1200";"28,2";"29,0";"27,8";"69,0";"73,0";"67,0";"21,9";"22,9";"21,9";"1005,0";"1005,0";"1004,6";"3,6";"85,0";"6,1";"1176,70";"0,0"
"01/01/2025";"1300";"29,5";"30,6";"28,1";"64,0";"70,0";"62,0";"22,0";"23,0";"21,6";"1004,7";"1005,0";"1004,6";"4,4";"96,0";"8,0";"2532,80";"0,0"
"01/01/2025";"1400";"29,8";"31,2";"29,0";"64,0";"67,0";"61,0";"22,3";"23,1";"21,7";"1004,1";"1004,7";"1004,1";"4,0";"101,0";"8,0";"2823,40";"0,0"
"01/01/2025";"1500";"30,3";"30,5";"29,1";"63,0";"68,0";"63,0";"22,5";"23,4";"22,1";"1003,6";"1004,1";"1003,5";"5,3";"103,0";"8,6";"2692,40";"0,0"
"01/01/2025";"1600";"29,9";"31,1";"29,9";"65,0";"65,0";"59,0";"22,6";"23,1";"21,8";"1002,9";"1003,6";"1002,9";"5,0";"96,0";"8,3";"3582,50";"0,0"
"01/01/2025";"1700";"30,2";"31,4";"29,4";"63,0";"67,0";"60,0";"22,3";"23,4";"22,0";"1002,1";"1002,9";"1002,1";"5,1";"80,0";"9,6";"3134,60";"0,0"
"01/01/2025";"1800";"29,5";"30,9";"29,4";"67,0";"68,0";"60,0";"22,8";"23,0";"22,0";"1002,0";"1002,1";"1002,0";"4,9";"94,0";"9,3";"2291,50";"0,0"
"01/01/2025";"1900";"28,6";"29,7";"28,5";"69,0";"71,0";"66,0";"22,3";"23,1";"22,0";"1001,9";"1002,0";"1001,8";"4,5";"80,0";"8,5";"1206,20";"0,0"
"01/01/2025";"2000";"27,6";"28,6";"27,4";"75,0";"77,0";"69,0";"22,7";"23,4";"22,5";"1002,1";"1002,1";"1001,9";"4,4";"91,0";"7,6";"304,30";"0,0"
"01/01/2025";"2100";"26,8";"27,6";"26,8";"77,0";"79,0";"75,0";"22,5";"23,1";"22,4";"1002,5";"1002,6";"1002,1";"3,9";"88,0";"7,6";"52,10";"0,0"
"01/01/2025";"2200";"26,4";"26,8";"26,4";"82,0";"83,0";"77,0";"23,2";"23,4";"22,5";"1003,1";"1003,1";"1002,5";"2,8";"74,0";"6,3";"";"0,0"
"01/01/2025";"2300";"26,2";"26,5";"26,1";"83,0";"83,0";"82,0";"23,1";"23,2";"23,1";"1003,6";"1003,6";"1003,1";"2,8";"73,0";"5,0";"";"0,0"
"02/01/2025";"0000";"25,7";"26,2";"25,7";"84,0";"84,0";"83,0";"22,9";"23,1";"22,9";"1004,3";"1004,3";"1003,6";"1,9";"56,0";"4,9";"";"0,0"
"02/01/2025";"0100";"25,2";"25,8";"25,2";"88,0";"88,0";"84,0";"23,0";"23,1";"22,8";"1004,5";"1004,5";"1004,3";"1,4";"40,0";"3,4";"";"0,0"
"02/01/2025";"0200";"24,6";"25,3";"24,6";"90,0";"90,0";"88,0";"22,9";"23,1";"22,9";"1004,1";"1004,5";"1004,1";"1,6";"23,0";"2,4";"";"0,0"
"02/01/2025";"0300";"24,4";"24,6";"24,4";"91,0";"91,0";"90,0";"22,9";"23,0";"22,8";"1003,7";"1004,2";"1003,7";"1,2";"15,0";"2,3";"";"0,0"
"02/01/2025";"0400";"24,2";"24,4";"24,1";"92,0";"93,0";"91,0";"22,8";"23,1";"22,7";"1003,6";"1003,7";"1003,6";"0,8";"13,0";"1,8";"";"0,0"
"02/01/2025";"0500";"23,7";"24,2";"23,6";"95,0";"95,0";"92,0";"22,8";"22,8";"22,7";"1003,3";"1003,6";"1003,2";"0,3";"349,0";"1,2";"";"0,0"
"02/01/2025";"0600";"23,7";"23,8";"23,6";"95,0";"95,0";"95,0";"22,9";"23,0";"22,8";"1003,1";"1003,3";"1003,1";"0,5";"8,0";"1,1";"";"0,0"
"02/01/2025";"0700";"23,3";"23,7";"23,3";"96,0";"96,0";"95,0";"22,6";"22,8";"22,6";"1003,1";"1003,1";"1003,0";"0,2";"67,0";"1,2";"";"0,0"
"02/01/2025";"0800";"23,1";"23,3";"23,0";"97,0";"97,0";"96,0";"22,6";"22,7";"22,5";"1003,6";"1003,6";"1003,1";"0,3";"243,0";"0,7";"";"0,0"
"02/01/2025";"0900";"24,5";"24,5";"23,0";"94,0";"98,0";"94,0";"23,5";"23,6";"22,6";"1004,4";"1004,4";"1003,6";"0,5";"347,0";"1,2";"127,90";"0,0"
"02/01/2025";"1000";"26,5";"26,7";"24,5";"82,0";"94,0";"81,0";"23,1";"24,1";"22,9";"1004,9";"1004,9";"1004,4";"1,1";"51,0";"2,0";"561,30";"0,0"
"02/01/2025";"1100";"27,0";"28,2";"26,5";"77,0";"84,0";"74,0";"22,7";"23,7";"22,4";"1005,0";"1005,1";"1004,9";"2,4";"109,0";"5,5";"769,40";"0,0"
"02/01/2025";"1200";"28,3";"29,3";"27,0";"71,0";"77,0";"66,0";"22,5";"23,1";"22,0";"1005,3";"1005,3";"1005,0";"3,5";"103,0";"6,8";"1659,70";"0,0"
"02/01/2025";"1300";"29,6";"29,9";"27,9";"67,0";"73,0";"64,0";"22,8";"23,5";"21,6";"1005,2";"1005,4";"1005,2";"4,4";"114,0";"8,3";"2272,70";"0,0"
"02/01/2025";"1400";"30,1";"30,7";"29,0";"65,0";"69,0";"62,0";"22,8";"23,4";"22,0";"1004,6";"1005,2";"1004,6";"4,0";"121,0";"10,1";"3611,30";"0,0"
"02/01/2025";"1500";"30,3";"31,0";"29,1";"62,0";"66,0";"61,0";"22,2";"23,0";"21,6";"1004,1";"1004,6";"1004,0";"3,8";"114,0";"7,6";"3185,70";"0,0"
"02/01/2025";"1600";"30,4";"30,7";"29,5";"61,0";"64,0";"60,0";"22,0";"22,5";"21,4";"1003,3";"1004,1";"1003,3";"3,8";"130,0";"7,8";"3218,80";"0,0"
"02/01/2025";"1700";"29,9";"30,8";"29,6";"64,0";"64,0";"60,0";"22,5";"22,6";"21,6";"1002,8";"1003,3";"1002,7";"4,5";"104,0";"8,2";"3056,40";"0,0"
"02/01/2025";"1800";"29,0";"30,1";"28,7";"67,0";"68,0";"64,0";"22,3";"22,8";"22,0";"1002,1";"1002,8";"1002,1";"4,2";"104,0";"7,8";"2023,70";"0,0"
