"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"29,1";"29,5";"28,6";"67,0";"72,0";"66,0";"22,5";"23,1";"22,5";"999,0";"999,0";"998,1";"1,6";"202,0";"3,8";"";"0,0"
"01/01/2025";"0100";"27,7";"29,1";"27,7";"74,0";"74,0";"67,0";"22,7";"22,7";"22,4";"999,5";"999,5";"999,0";"0,7";"320,0";"3,8";"";"0,0"
"01/01/2025";"0200";"26,5";"27,7";"26,5";"79,0";"79,0";"74,0";"22,6";"23,0";"22,4";"1000,5";"1000,5";"999,5";"0,7";"317,0";"3,9";"";"0,0"
"01/01/2025";"0300";"26,2";"26,7";"26,2";"81,0";"81,0";"79,0";"22,6";"23,0";"22,5";"1000,3";"1000,6";"1000,2";"0,2";"28,0";"1,8";"";"0,0"
"01/01/2025";"0400";"25,0";"26,2";"25,0";"85,0";"85,0";"81,0";"22,3";"22,8";"22,3";"999,9";"1000,3";"999,9";"0,3";"17,0";"1,2";"";"0,0"
"01/01/2025";"0500";"24,8";"25,0";"24,6";"86,0";"87,0";"85,0";"22,3";"22,6";"22,1";"999,6";"999,9";"999,4";"1,2";"324,0";"2,0";"";"0,0"
"01/01/2025";"0600";"25,2";"25,5";"24,8";"84,0";"86,0";"83,0";"22,2";"22,5";"22,2";"999,5";"999,6";"999,4";"0,8";"285,0";"2,2";"";"0,0"
"01/01/2025";"0700";"24,2";"25,2";"24,2";"87,0";"88,0";"84,0";"21,9";"22,3";"21,8";"999,6";"999,6";"999,4";"0,7";"272,0";"1,8";"";"0,0"
"01/01/2025";"0800";"23,6";"24,2";"23,6";"90,0";"91,0";"87,0";"21,9";"22,1";"21,8";"1000,1";"1000,1";"999,6";"0,5";"147,0";"1,6";"";"0,0"
"01/01/2025";"0900";"23,9";"23,9";"23,4";"91,0";"91,0";"90,0";"22,4";"22,4";"21,8";"1000,7";"1000,7";"1000,1";"0,2";"351,0";"1,0";"2,10";"0,0"
"01/01/2025";"1000";"26,4";"26,4";"23,9";"85,0";"91,0";"85,0";"23,6";"23,7";"22,4";"1001,1";"1001,1";"1000,7";"0,9";"337,0";"1,7";"275,00";"0,0"
"01/01/2025";"1100";"28,0";"28,0";"26,4";"75,0";"85,0";"75,0";"23,3";"23,8";"22,7";"1001,6";"1001,6";"1001,1";"1,5";"347,0";"3,7";"926,60";"0,0"
"01/01/2025";"1200";"29,1";"29,3";"28,0";"70,0";"75,0";"68,0";"23,0";"23,8";"22,3";"1002,0";"1002,1";"1001,6";"1,0";"24,0";"3,9";"1062,60";"0,0"
"01/01/2025";"1300";"30,8";"30,9";"29,1";"63,0";"70,0";"62,0";"22,8";"23,2";"22,1";"1001,8";"1002,1";"1001,8";"1,8";"66,0";"4,0";"1667,00";"0,0"
"01/01/2025";"1400";"32,1";"32,1";"30,3";"57,0";"63,0";"56,0";"22,6";"22,9";"21,5";"1001,4";"1001,8";"1001,4";"1,1";"34,0";"4,6";"2003,30";"0,0"
"01/01/2025";"1500";"32,0";"33,4";"31,0";"55,0";"57,0";"52,0";"22,0";"22,8";"21,4";"1000,6";"1001,4";"1000,6";"1,1";"83,0";"5,4";"1452,80";"0,0"
"01/01/2025";"1600";"34,7";"35,0";"32,0";"46,0";"56,0";"45,0";"21,3";"22,9";"20,5";"999,4";"1000,6";"999,4";"2,1";"129,0";"5,5";"3335,80";"0,0"
"01/01/2025";"1700";"35,3";"36,1";"33,7";"43,0";"47,0";"42,0";"21,0";"21,8";"20,3";"998,3";"999,4";"998,3";"1,6";"130,0";"6,6";"2958,90";"0,0"
"01/01/2025";"1800";"35,5";"36,6";"33,9";"42,0";"45,0";"38,0";"20,5";"21,1";"19,1";"997,3";"998,3";"997,3";"2,0";"108,0";"7,0";"1957,80";"0,0"
"01/01/2025";"1900";"35,4";"36,3";"35,0";"38,0";"42,0";"37,0";"18,9";"20,7";"18,7";"996,5";"997,3";"996,5";"1,7";"79,0";"6,2";"1950,10";"0,0"
"01/01/2025";"2000";"33,4";"35,4";"33,4";"48,0";"49,0";"38,0";"21,0";"21,3";"18,9";"996,6";"996,6";"996,4";"0,8";"120,0";"4,2";"379,50";"0,0"
"01/01/2025";"2100";"31,8";"33,4";"31,8";"57,0";"58,0";"47,0";"22,3";"22,5";"20,6";"996,9";"996,9";"996,5";"0,5";"341,0";"1,9";"155,40";"0,0"
