"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"15/05/2025";"0000";"14,5";"14,7";"14,3";"93,0";"94,0";"91,0";"13,5";"13,6";"13,1";"948,9";"948,9";"948,4";"0,0";"269,0";"1,1";"";""
"15/05/2025";"0100";"13,4";"14,5";"13,4";"93,0";"93,0";"92,0";"12,3";"13,4";"12,3";"949,0";"949,1";"948,9";"0,0";"338,0";"1,0";"";""
"15/05/2025";"0200";"12,9";"13,6";"12,7";"95,0";"95,0";"93,0";"12,1";"12,5";"11,8";"949,3";"949,3";"949,0";"0,1";"234,0";"0,6";"";""
"15/05/2025";"0300";"12,5";"13,0";"12,5";"94,0";"95,0";"94,0";"11,6";"12,2";"11,6";"949,3";"949,3";"949,2";"0,1";"112,0";"1,6";"";""
"15/05/2025";"0400";"11,9";"12,5";"11,8";"95,0";"95,0";"94,0";"11,1";"11,7";"11,1";"949,1";"949,3";"949,1";"0,0";"63,0";"0,7";"";""
"15/05/2025";"0500";"12,1";"12,3";"11,8";"95,0";"96,0";"95,0";"11,3";"11,6";"11,1";"948,7";"949,1";"948,7";"0,2";"289,0";"1,3";"";""
"15/05/2025";"0600";"11,3";"12,1";"11,3";"95,0";"95,0";"94,0";"10,6";"11,3";"10,6";"948,3";"948,7";"948,2";"0,4";"139,0";"1,1";"";""
"15/05/2025";"0700";"10,8";"11,3";"10,8";"96,0";"96,0";"95,0";"10,2";"10,6";"10,2";"948,5";"948,5";"948,2";"0,0";"336,0";"1,1";"";""
"15/05/2025";"0800";"10,4";"10,9";"10,3";"96,0";"96,0";"96,0";"9,8";"10,3";"9,7";"948,6";"948,6";"948,5";"0,1";"164,0";"1,1";"";""
"15/05/2025";"0900";"10,0";"10,4";"10,0";"97,0";"97,0";"96,0";"9,5";"9,8";"9,5";"948,8";"948,8";"948,5";"0,1";"140,0";"1,1";"";""
